[32mWaf: Entering directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mWaf: Leaving directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (0.680s)[0m
Nix Vector Enabled 
33 0 +3240.0ms
33 0 +3250.0ms
33 0 +3260.0ms
33 0 +3270.0ms
33 0 +3280.0ms
33 0 +3290.0ms
33 0 +3300.0ms
33 0 +3310.0ms
33 0 +3320.0ms
33 0 +3330.0ms
33 0 +3339.99999899999999999998ms
33 0 +3350.0ms
33 0 +3359.99999899999999999998ms
33 0 +3370.0ms
33 0 +3379.99999899999999999998ms
33 0 +3390.0ms
33 0 +3399.99999899999999999998ms
33 0 +3410.0ms
33 0 +3419.99999899999999999998ms
33 0 +3430.0ms
33 0 +3439.99999899999999999998ms
33 0 +3450.0ms
33 0 +3459.99999899999999999998ms
33 0 +3470.0ms
33 0 +3479.99999899999999999998ms
33 0 +3490.0ms
33 0 +3500.0ms
33 0 +3510.0ms
33 0 +3520.0ms
33 0 +3530.0ms
33 0 +3540.0ms
33 0 +3550.0ms
33 0 +3560.0ms
33 0 +3570.0ms
33 0 +3580.0ms
33 0 +3589.99999899999999999998ms
33 0 +3600.0ms
33 0 +3609.99999899999999999998ms
33 0 +3620.0ms
33 0 +3629.99999899999999999998ms
33 0 +3640.0ms
33 0 +3649.99999899999999999998ms
33 0 +3660.0ms
33 0 +3669.99999899999999999998ms
33 0 +3680.0ms
33 0 +3689.99999899999999999998ms
33 0 +3700.0ms
33 0 +3709.99999899999999999998ms
33 0 +3720.0ms
33 0 +3729.99999899999999999998ms
33 0 +3740.0ms
33 0 +3750.0ms
33 0 +3760.0ms
33 0 +3770.0ms
33 0 +3780.0ms
33 0 +3790.0ms
33 0 +3800.0ms
33 0 +3810.0ms
33 0 +3820.0ms
33 0 +3830.0ms
33 0 +3839.99999899999999999998ms
33 0 +3850.0ms
33 0 +3859.99999899999999999998ms
33 0 +3870.0ms
33 0 +3879.99999899999999999998ms
33 0 +3890.0ms
33 0 +3899.99999899999999999998ms
33 0 +3910.0ms
33 0 +3919.99999899999999999998ms
33 0 +3930.0ms
33 0 +3939.99999899999999999998ms
33 0 +3950.0ms
33 0 +3959.99999899999999999998ms
33 0 +3970.0ms
33 0 +3979.99999899999999999998ms
33 0 +3990.0ms
33 0 +4000.0ms
33 0 +4009.99999899999999999998ms
33 0 +4020.0ms
33 0 +4030.0ms
33 0 +4040.0ms
33 0 +4049.99999899999999999998ms
33 0 +4060.0ms
33 0 +4070.0ms
33 0 +4080.0ms
33 0 +4089.99999899999999999998ms
33 0 +4099.99999899999999999998ms
33 0 +4110.0ms
33 0 +4120.0ms
33 0 +4129.99999899999999999998ms
33 0 +4139.99999899999999999998ms
33 0 +4150.0ms
33 0 +4160.0ms
33 0 +4169.99999899999999999998ms
33 0 +4179.99999899999999999998ms
33 0 +4190.0ms
33 0 +4200.0ms
33 0 +4209.99999899999999999998ms
33 0 +4219.99999899999999999998ms
33 0 +4230.0ms
33 0 +4240.0ms
33 0 +4250.0ms
33 0 +4259.99999899999999999998ms
33 0 +4270.0ms
33 0 +4280.0ms
33 0 +4290.0ms
33 0 +4299.99999899999999999998ms
33 0 +4310.0ms
33 0 +4320.0ms
33 0 +4330.0ms
33 0 +4339.99999899999999999998ms
33 0 +4350.0ms
33 0 +4360.0ms
33 0 +4370.0ms
33 0 +4379.99999899999999999998ms
33 0 +4389.99999899999999999998ms
33 0 +4400.0ms
33 0 +4410.0ms
33 0 +4419.99999899999999999998ms
33 0 +4429.99999899999999999998ms
33 0 +4440.0ms
33 0 +4450.0ms
33 0 +4459.99999899999999999998ms
33 0 +4469.99999899999999999998ms
33 0 +4480.0ms
33 0 +4490.0ms
33 0 +4500.0ms
33 0 +4509.99999899999999999998ms
33 0 +4520.0ms
33 0 +4530.0ms
33 0 +4540.0ms
33 0 +4549.99999899999999999998ms
33 0 +4560.0ms
33 0 +4570.0ms
33 0 +4580.0ms
33 0 +4589.99999899999999999998ms
33 0 +4600.0ms
33 0 +4610.0ms
33 0 +4620.0ms
33 0 +4629.99999899999999999998ms
33 0 +4639.99999899999999999998ms
33 0 +4650.0ms
33 0 +4660.0ms
33 0 +4669.99999899999999999998ms
33 0 +4679.99999899999999999998ms
33 0 +4690.0ms
33 0 +4700.0ms
33 0 +4709.99999899999999999998ms
33 0 +4719.99999899999999999998ms
33 0 +4730.0ms
33 0 +4740.0ms
33 0 +4750.0ms
33 0 +4759.99999899999999999998ms
33 0 +4770.0ms
33 0 +4780.0ms
33 0 +4790.0ms
33 0 +4799.99999899999999999998ms
33 0 +4810.0ms
33 0 +4820.0ms
33 0 +4830.0ms
33 0 +4839.99999899999999999998ms
33 0 +4850.0ms
33 0 +4860.0ms
33 0 +4870.0ms
33 0 +4879.99999899999999999998ms
33 0 +4889.99999899999999999998ms
33 0 +4900.0ms
33 0 +4910.0ms
33 0 +4919.99999899999999999998ms
33 0 +4929.99999899999999999998ms
33 0 +4940.0ms
33 0 +4950.0ms
33 0 +4959.99999899999999999998ms
33 0 +4969.99999899999999999998ms
33 0 +4980.0ms
33 0 +4990.0ms
33 0 +5000.0ms
-----
Runtime Stats:
Simulator init time: 0.219079
Simulator run time: 7.60301
Total elapsed time: 7.82209
